16	10
13	8
56	51
32	4
32	11
95	89
99	4
13	66
76	23
8	82
80	6
14	93
62	74
32	65
87	81
73	56
6	65
40	4
17	38
64	17
21	64
23	26
2	56
88	61
97	73
59	1
60	38
66	94
84	81
27	78
14	84
2	38
21	56
72	89
73	7
23	49
57	36
47	95
69	63
98	84
62	40
43	49
92	45
9	12
43	21
28	69
36	94
72	10
11	4
71	30
91	5
50	92
45	73
13	64
40	8
26	12
17	31
79	25
79	56
4	21
36	67
94	32
69	21
21	77
44	79
69	55
51	55
49	10
35	92
92	58
40	54
57	49
68	72
79	61
27	86
25	63
19	64
91	49
62	52
11	21
82	91
92	76
58	100
70	21
44	81
20	38
89	83
1	51
6	39
47	4
29	71
49	17
28	77
10	99
6	89
74	72
1	27
55	79
55	40
23	27
25	45
31	26
46	47
10	23
82	63
68	31
12	67
52	75
26	13
7	48
21	40
78	85
90	33
95	60
61	74
52	26
93	14
22	40
3	43
5	18
61	26
50	35
28	53
80	98
27	27
86	24
1	15
98	27
57	57
93	82
15	10
32	23
42	8
60	92
97	27
65	69
35	77
49	63
46	21
64	60
26	33
99	75
32	25
98	54
66	88
45	49
12	20
34	87
36	7
87	88
88	42
14	63
57	60
98	16
18	58
62	76
9	15
90	53
7	29
57	87
14	64
4	52
6	78
63	27
74	26
5	28
96	32
32	69
21	34
72	73
22	23
29	39
100	49
76	66
19	79
79	95
50	26
26	62
34	73
91	36
95	97
70	56
57	29
27	99
70	23
89	42
91	31
65	10
68	9
14	13
92	22
43	99
43	22
20	6
76	37
7	85
10	41
89	46
23	68
79	64
98	50
55	35
63	58
26	95
24	84
21	41
22	33
41	59
15	14
67	71
76	66
29	3
54	38
50	39
39	26
65	68
57	6
93	13
20	79
55	39
91	47
44	75
72	89
86	8
92	95
7	97
60	75
1	58
16	27
33	75
46	20
65	10
2	2
85	72
69	31
23	24
69	57
13	84
84	33
95	98
36	95
32	61
57	2
43	63
52	94
10	97
63	73
1	95
11	13
44	97
7	78
95	62
69	42
64	47
85	79
42	72
39	76
51	54
89	21
13	44
40	24
21	42
87	97
88	70
18	86
48	55
7	18
52	49
83	76
18	72
33	48
27	38
32	80
99	69
88	35
96	73
70	11
35	33
3	99
46	69
1	46
65	8
43	64
54	27
70	14
34	83
62	73
96	74
48	68
1	67
69	85
10	39
51	70
88	73
97	8
34	24
6	92
65	16
20	23
22	79
77	17
58	70
11	1
72	79
30	77
51	31
32	98
95	42
19	8
16	46
97	18
60	99
3	9
35	78
18	91
15	79
83	32
20	82
91	31
99	33
41	71
44	46
49	48
27	99
72	83
74	12
75	90
7	45
80	68
83	13
48	56
32	21
90	90
54	46
80	13
10	85
96	6
5	31
50	24
52	62
68	13
85	56
97	81
86	90
11	12
86	4
56	64
28	90
14	80
78	96
74	82
62	91
30	60
4	67
5	42
64	60
40	20
99	90
49	91
46	97
30	87
63	31
15	78
70	54
19	32
71	22
45	27
1	36
62	9
65	44
63	34
90	42
52	65
57	7
76	11
20	19
68	41
22	54
10	78
42	66
63	78
95	60
27	10
50	45
53	32
84	99
18	7
17	34
56	37
14	43
42	65
80	45
56	39
5	51
13	29
68	72
26	1
72	82
92	82
